,a_i_num,adr_for,area_type,site_type,silvicult,forest_fun,stand_stru,rotat_age,sub_area,prot_categ,species_cd,part_cd,spec_age,a_year
1,211017462,02-11-2-05-116   -c   -00,D-STAN,LMŚW,S,GOSP,DRZEW,100,4.83,,SO,5,13,2022
2,211017456,02-11-1-01-78    -c   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,1.98,OCH USZK,SO,5,20,2022
3,211017461,02-11-1-04-226   -l   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,2.4,OCH USZK,SO,7,22,2022
4,211017458,02-11-1-03-149   -c   -00,D-STAN,LMW,O,OCHR,DRZEW,100,3.46,OCH USZK,SO,7,23,2022
5,211017030,02-11-1-01-28    -g   -00,SUKCESJA,OL,GZ,GOSP,,80,0.91,,BRZ,,83,2022
7,211017465,02-11-2-06-14    -g   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,2.85,OCH WOD,SO,4,22,2022
8,211017454,02-11-1-01-42    -a   -00,D-STAN,LŚW,O,OCHR,DRZEW,100,6.21,OCH USZK,SO,3,20,2022
9,211017467,02-11-2-06-22    -d   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,5.58,,SO,5,11,2022
10,211017455,02-11-1-01-63    -h   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,3.53,OCH USZK,SO,4,22,2022
11,211017459,02-11-1-03-150   -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,5.56,OCH USZK,SO,4,9,2022
12,211017460,02-11-1-03-170   -h   -00,D-STAN,LMŚW,O,OCHR,DRZEW,0,3.81,OCH USZK,SO,7,2,2022
13,211017463,02-11-2-05-122   -d   -00,D-STAN,LMW,O,OCHR,DRZEW,100,3.24,OCH WOD,SO,7,21,2022
14,211000005,02-11-1-01-1     -b   -00,D-STAN,LŚW,O,OCHR,KO,80,2.04,OCH USZK,BRZ,8,78,2022
15,211017453,02-11-1-01-8     -c   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,6.43,OCH USZK,SO,5,11,2022
16,211017038,02-11-1-01-28    -n   -00,D-STAN,LMW,O,OCHR,DRZEW,80,0.85,OCH USZK,OL,6,98,2022
17,211017466,02-11-2-06-21    -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,3.65,OCH WOD,SO,5,12,2022
18,211017472,02-11-2-06-167   -d   -00,D-STAN,LW,GPZ,GOSP,DRZEW,100,3.93,,SO,4,20,2022
19,211008471,02-11-3-10-7     -i   -00,D-STAN,LMW,O,OCHR,DRZEW,100,1.28,OCH WOD,SO,6,20,2022
20,211008789,02-11-3-09-61    -h   -00,D-STAN,BMW,GZ,GOSP,DRZEW,100,0.84,,SO,7,58,2022
21,211002806,02-11-1-04-185   -j   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,0.75,OCH USZK,SO,4,68,2022
23,211024366,02-11-1-04-230   -h   -00,SUKCESJA,BMŚW,S,GOSP,,100,0.72,,SO,,0,2022
24,211023016,02-11-3-09-96    -c   -00,D-STAN,LMW,O,OCHR,KO,100,4.11,OCH WOD,SO,10,98,2022
25,211003101,02-11-1-04-195   -d   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,4.54,OCH USZK,SO,9,38,2022
27,211001189,02-11-1-02-54    -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,6.34,OCH USZK,SO,9,38,2022
29,211004736,02-11-2-06-17    -c   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,6.96,,SO,6,93,2022
30,211005573,02-11-2-06-131   -c   -00,D-STAN,BMW,GZ,GOSP,DRZEW,100,4.76,,SO,10,78,2022
32,211024698,02-11-3-12-169   -g   -99,D-STAN,BMW,S,OCHR,DRZEW,100,3.6,OCH WOD,SO,7,8,2022
33,211006292,02-11-2-07-40    -d   -00,D-STAN,LMW,O,OCHR,DRZEW,100,2.72,OCH WOD,SO,5,33,2022
34,211023242,02-11-3-11-139   -d   -00,D-STAN,LMW,O,OCHR,DRZEW,80,4.14,OCH WOD,BRZ,4,28,2022
35,211021734,02-11-3-09-2     -c   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,5.48,,SO,10,41,2022
36,211018810,02-11-2-06-46    -dx  -00,D-STAN,LŁ,S,OCHR,DRZEW,80,1.98,OCH WOD,OL,7,21,2022
37,211023010,02-11-2-07-42    -a   -00,D-STAN,LMŚW,GPZ,GOSP,KO,100,4.82,,SO,10,108,2022
38,211006313,02-11-2-07-41    -g   -00,D-STAN,LW,S,OCHR,DRZEW,80,7.58,OCH WOD,OL,4,7,2022
39,211024531,02-11-3-11-189   -d   -99,D-STAN,BMW,O,OCHR,DRZEW,100,2.43,OCH WOD,SO,8,48,2022
41,211023798,02-11-2-06-167   -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,1.75,OCH WOD,SO,3,26,2022
42,211003226,02-11-1-04-200   -m   -00,D-STAN,LW,O,OCHR,DRZEW,140,0.04,OCH USZK,DB,8,123,2022
